BS,BS,BS,BS,BS,BS,BS,BS,BS,BS,BS,BS,BS,BS,BS,JS,JS
/i/,/ɪ/,/ɛ/,/æ/,/ʌ/,/ɑ/,/ɔ/,/o/,/ʊ/,/u/,/ɝ/,/l/,/m/,/n/,/ŋ/,/i/,/ɑ/
0.33,0.20,0.21,0.22,0.33,0.45,0.61,0.18,0.32,0.40,0.41,0.38,0.57,0.26,0.51,0.78,0.40
0.30,0.17,0.13,0.26,0.28,0.20,0.28,0.17,0.39,0.38,0.38,0.29,0.57,0.24,0.47,0.92,0.12
0.36,0.18,0.16,0.26,0.23,0.26,0.19,0.23,0.39,0.28,0.40,0.33,0.21,0.17,0.45,0.64,0.07
0.34,0.18,0.14,0.16,0.15,0.21,0.10,0.28,0.43,0.43,0.29,0.34,0.58,0.21,0.30,0.59,0.47
0.68,0.10,0.06,0.13,0.17,0.32,0.07,0.59,0.56,0.55,0.13,0.32,2.18,0.15,0.48,0.53,2.06
0.50,1.08,0.78,0.21,0.33,0.30,0.30,1.46,1.46,1.72,0.53,1.74,3.15,0.36,0.67,1.29,1.78
2.43,1.66,1.25,0.83,0.39,0.33,0.18,1.60,2.20,2.91,1.58,2.88,2.96,1.37,0.83,1.92,1.88
3.15,1.64,1.24,1.50,1.02,1.05,1.13,1.11,2.06,2.88,1.56,2.16,2.89,1.66,0.96,4.36,1.00
2.66,1.19,0.99,1.35,1.22,1.12,1.42,0.82,1.58,2.37,1.22,1.10,3.70,1.35,1.43,5.13,0.46
2.49,0.92,0.72,0.99,1.14,0.85,1.21,1.01,1.11,2.10,1.19,1.14,4.21,0.90,1.14,4.35,0.42
3.39,1.13,0.73,0.69,0.82,0.63,0.69,2.72,1.11,3.63,1.00,1.21,3.57,0.71,0.84,4.04,0.17
3.80,2.48,1.06,1.35,0.76,0.39,0.51,2.71,1.26,5.86,0.77,2.25,3.59,0.93,0.69,3.61,0.26
3.78,2.76,1.77,2.32,0.66,0.26,0.43,1.96,1.30,5.63,0.92,2.91,2.97,1.41,0.82,3.81,0.44
4.35,2.97,1.97,2.13,0.80,0.28,0.66,1.92,0.98,5.43,1.19,2.35,3.17,2.07,0.86,4.05,0.43
4.50,3.43,2.46,1.94,0.72,0.23,0.57,1.70,0.93,4.80,1.27,1.92,3.25,2.12,0.57,4.58,0.86
4.43,3.32,2.70,2.17,0.66,0.32,0.32,1.66,0.83,4.56,1.35,2.05,2.58,2.04,0.81,4.99,0.85
4.68,3.48,2.92,2.85,1.08,0.29,0.43,1.52,0.61,4.29,1.48,1.96,2.74,2.16,1.00,6.11,0.79
4.52,3.96,3.03,3.26,0.91,0.28,0.45,1.28,0.97,3.63,1.56,1.61,2.77,2.36,0.66,5.61,1.06
4.15,3.79,2.84,3.73,1.09,0.40,0.53,1.44,0.75,3.37,1.61,1.84,2.49,2.52,0.80,5.06,1.48
4.09,3.88,2.84,3.80,1.06,0.66,0.60,1.28,0.93,3.16,1.87,2.01,2.93,2.88,0.97,4.63,1.32
3.51,3.47,2.83,3.69,1.09,1.20,0.77,0.89,0.53,3.31,2.10,1.21,3.33,2.30,0.78,4.05,1.76
2.95,2.98,2.36,3.87,1.17,1.05,0.65,1.25,0.65,3.22,2.01,1.43,2.27,1.93,0.58,3.76,1.82
2.03,2.62,2.14,3.68,1.39,1.62,0.58,1.38,0.95,2.33,2.62,1.90,2.57,1.77,0.46,3.16,2.79
1.66,2.37,2.00,3.20,1.55,2.09,0.94,1.09,0.99,2.07,2.96,1.95,2.17,0.96,0.44,3.10,3.04
1.38,1.99,1.78,3.26,1.89,2.56,2.02,0.71,1.07,2.07,3.07,1.81,1.84,0.89,0.47,2.88,3.34
1.05,1.90,1.81,3.29,2.17,2.78,2.50,0.46,1.39,1.52,3.11,1.67,1.98,1.22,0.41,2.47,3.69
0.60,1.70,1.79,3.19,2.46,2.86,2.41,0.39,1.47,0.74,2.77,1.79,1.73,1.30,0.11,1.94,3.49
0.35,1.44,1.50,3.23,2.65,3.02,2.62,0.32,1.79,0.23,2.67,2.54,1.43,1.30,0.00,1.58,4.37
0.32,1.45,1.37,3.23,3.13,3.75,3.29,0.57,2.34,0.15,2.47,3.84,1.73,1.14,0.05,1.05,4.61
0.12,1.06,1.36,3.40,3.81,4.60,4.34,1.06,2.68,0.22,2.34,4.81,2.08,0.77,0.05,0.66,4.94
0.10,0.87,1.43,3.78,4.30,5.09,4.78,1.38,3.36,0.22,2.25,4.94,2.32,0.34,0.05,0.36,5.01
0.16,0.75,1.83,3.84,4.57,6.02,5.24,2.29,3.98,0.37,1.90,5.06,2.84,0.15,0.05,0.26,5.20
0.25,1.06,2.08,3.98,4.94,6.55,6.07,2.99,4.74,0.60,1.32,5.63,3.51,0.22,0.05,0.14,5.44
0.24,1.29,2.59,4.41,5.58,6.29,7.08,3.74,5.48,0.76,0.76,6.41,4.25,0.21,0.05,0.08,5.21
0.38,1.78,2.54,4.56,5.79,6.27,6.81,4.39,5.69,0.86,0.44,6.57,4.79,0.05,2.18,0.05,5.32
0.28,1.83,2.11,4.79,5.51,5.94,6.20,5.38,5.57,1.82,0.45,6.18,4.61,0.05,4.72,0.05,4.80
0.36,1.70,2.34,4.39,5.49,5.28,5.89,7.25,4.99,2.35,0.92,5.48,4.07,0.05,6.86,0.08,4.47
0.65,1.97,2.74,4.42,4.69,4.70,5.04,7.00,4.48,2.55,2.05,3.63,3.64,0.05,8.58,0.08,4.88
1.58,1.92,2.19,4.23,4.50,3.87,4.29,4.57,3.07,3.73,3.25,1.35,2.84,0.05,8.76,0.07,4.21
2.05,1.62,1.60,4.56,3.21,4.13,2.49,2.75,1.67,5.47,3.63,0.36,1.42,0.00,7.21,0.19,3.43
2.01,1.36,0.00,4.31,2.79,4.25,1.84,1.48,1.13,4.46,3.59,0.43,0.29,1.59,4.92,0.18,3.84
1.58,1.18,,3.94,2.11,4.27,1.33,0.68,0.64,2.39,3.07,2.36,0.00,1.60,3.21,0.29,3.79
0.00,0.00,,0.00,1.98,4.69,1.19,0.39,0.15,1.10,2.25,3.53,0.00,1.69,2.17,0.62,3.68
